DateTime,News
2013-06-28 05:30:00,[video] Previewing Social Media Stocks in Q3
2013-06-28 09:19:00,Why Ultrapar Is Poised to Keep Bouncing Back
2013-07-11 04:16:00,Bullish Two Hundred Day Moving Average Cross - UGP
2013-07-31 07:41:00,Ultrapar announces its 2Q13 results
2013-08-03 05:35:00,Ultrapar Participacoes Management Discusses Q2 2013 Results - Earnings Call Transcript
2013-08-16 01:38:00,Solar Technology Systems Becoming More Competitive with Other Types of Generation: An Exclusive Wall Street Transcript Interview with Ben Kallo on the Alternative Energy Sector
2013-08-19 04:04:00,Ultrapar Participacoes (UGP) Shares Enter Oversold Territory
2013-08-22 11:30:00,"Natural Gas Adoption Trends Progress More Rapidly Overseas: International Governments More Supportive of Developing Natural Gas Fuels Markets in Places Like China, India and Europe"
2013-09-09 12:38:00,UGP Crosses Above Key Moving Average Level
2013-09-27 09:30:00,Looking To Score On Inventory Turnover? Try These 4 Brazilian Stocks
2013-09-30 03:17:00,10 Brazilian Stocks To Consider For Dividend Income
2013-11-06 04:58:00,Ultrapar announces its 3Q13 results
2013-11-08 05:11:00,Ultrapar Participacoes\' Management Discusses Q3 2013 Results - Earnings Call Transcript
2013-11-18 11:29:00,Energy stocks among HSBC\'s top picks for 2014
2013-12-27 03:09:00,Credit Suisse Initiates Ultrapar at Neutral
2014-04-08 07:53:00,Can Ultrapar Participacoes (UGP) Continue to Rise?
2014-05-14 06:08:00,Ultrapar announces its 1Q14 results
2014-08-06 05:58:00,Ultrapar announces its 2Q14 results
2014-10-07 08:21:00,Ultrapar Holdings (UGP) Catches Eye: Stock Jumps 8.5%
2014-10-20 11:16:00,"Trade-Ideas: Ultrapar Participacoes (UGP) Is Today\'s ""Perilous Reversal"" Stock"
2014-10-21 09:08:00,Ultrapar (UGP): Moving Average Crossover Alert
2014-10-31 02:52:00,[$$] A Top Pick in Brazil Oil and Gas
2014-11-05 05:17:00,Ultrapar announces its 3Q14 results
2014-11-10 09:46:00,Ultrapar Participacoes (UGP) Downgraded From Buy to Hold
2014-12-13 12:01:00,Deep Discounts in the Oil Patch
2015-04-28 09:58:00,Ultrapar (UGP) Enters Overbought Territory - Tale of the Tape
2015-05-06 05:52:00,Ultrapar announces its 1Q15 results
2015-07-20 09:37:00,Ultrapar Participacoes upgraded by Citigroup
2015-07-30 02:17:00,Ultrapar announces filing of its 2014 Form 20-F
2015-08-05 06:22:00,Ultrapar announces its 2Q15 results
2015-08-11 12:34:00,US Wants Oil Export Ban to End: 2 Upstream Picks - Analyst Blog
2015-08-12 09:30:00,"The Zacks Analyst Blog Highlights: Pioneer Natural Resources, Enterprise Products Partners, Baker Hughes, World Fuel Services, Enbridge, DCP Midstream Partners, Ultrapar Holdings, Seadrill Partners and Mitcham Industries"
2015-08-14 11:12:00,"Parkland Fuel Corp. Earnings Q2*, 2015"
2015-09-04 09:02:00,Moving Average Crossover Alert: Ultrapar (UGP)
2015-09-04 10:49:00,"Ultrapar Participa\xc3\xa7oes SA Earnings Q2, 2015"
2015-11-04 05:20:00,Ultrapar announces its 3Q15 results
2015-11-13 11:12:00,"Ultrapar Participa\xc3\xa7oes SA Earnings Q3, 2015"
2015-11-20 10:31:00,Here is What Hedge Funds Think About HollyFrontier Corp (HFC)
2015-11-26 06:52:00,"What do Hedge Funds Think of Pentair, Ltd. Registered Share (PNR)?"
2015-11-29 05:42:00,Should You Buy Ultrapar Participacoes SA (ADR) (UGP)?
2015-12-01 09:06:00,"Hedge Funds Are Crazy About Affiliated Managers Group, Inc. (AMG)"
2015-12-28 02:57:00,Financials Plagued JLTAX Year-to-Date in November 2015
2015-12-28 03:00:00,Portfolio Composition of UBPIX through November 2015
2016-01-13 08:30:00,"Identifying Opportunity, Placing Risk - Free Research Reports on Green Plains, Ultrapar Participacoes, TFS Financial, and PetMed Express"
2016-01-27 06:39:00,How Financials and Industrials Dimmed Prospects for JLTAX in 2015
2016-04-05 12:52:00,No Good News from Banco Central do Brasil for Inflation in Brazil
2016-04-29 03:10:00,Market Announcement - Ultrapar announces filing of its 2015 Form 20-F
2016-05-11 06:18:00,Ultrapar announces its 1Q16 results
2016-05-16 02:53:00,Brazils Economic Peril Has Tailed Rousseff in Her Presidency
2016-05-17 01:34:00,"Ultrapar Participa\xc3\xa7oes SA :UGP-US: Earnings Analysis: Q1, 2016 By the Numbers"
2016-05-20 12:13:00,"ETFs with exposure to Ultrapar Participa\xc3\xa7oes SA : May 20, 2016"
2016-05-23 01:06:00,Can Michel Temer Ease the Tremors Rocking Brazils Economy?
2016-06-12 04:19:00,"Ultrapar: Material Notice - Ultrapar, Through its Subsidiary Ipiranga, Enters into an Agreement to Acquire Alesat Combust\xc3\xadveis S.A."
2016-06-13 11:38:00,Ibovespa Dodges Global Worries as Ultrapar Joins Surge in Deals
2016-06-13 12:04:00,"Brazil\'s Ultrapar Up 4% On M&A, Petrobras Sinks"
2016-07-18 09:12:00,"Oil and Gas Equities Coverage on Western Refining, CVR Refining, Pacific Ethanol, and Ultrapar Participacoes"
2016-07-21 02:31:00,"ETFs with exposure to Ultrapar Participa\xc3\xa7oes SA : July 21, 2016"
2016-08-04 09:27:00,"Ultrapar Participa\xc3\xa7\xc3\xb5es S.A. Market Announcement - Ultrapar, Through its Subsidiary Ipiranga, Enters into a Joint Venture Agreement with Chevron to Create a New Company in the Lubricants Business"
2016-08-08 07:01:00,Bear of the Day: Frank\'s International (FI)
2016-08-10 05:01:00,Ultrapar announces its 2Q16 results
2016-08-18 11:56:00,"Ultrapar Participa\xc3\xa7oes SA :UGP-US: Earnings Analysis: Q2, 2016 By the Numbers : August 18, 2016"
2016-08-22 10:00:00,4 Brazil Stocks to Buy on an Improving Economy
2016-08-22 11:57:00,"Why Brazil\'s Ultrapar, Korea\'s AmorePacific Make MS Focus List"
2016-08-23 09:30:00,"The Zacks Analyst Blog Highlights: Companhia de Saneamento Basico do Estado de Sao Paulo, Companhia Energ\xc3\xa9tica de Minas Gerais S.A., Ultrapar Participa\xc3\xa7\xc3\xb5es S.A. and Fibria Celulose S.A."
2016-08-23 12:36:00,"ETFs with exposure to Ultrapar Participa\xc3\xa7oes SA : August 23, 2016"
2016-09-08 03:35:00,5 Energy Stocks That Are Broker Favorites
2016-09-09 09:30:00,"The Zacks Analyst Blog Highlights: Matador Resources, China Petroleum and Chemical, Independence Contract Drilling, Vermilion Energy and Ultrapar Participacoes S.A."
2016-09-13 09:30:00,"Nordstrom, Virgin America, Broadcom, Applied Materials and Ultrapar PA highlighted as Zacks Bull and Bear of the Day"
2016-09-29 06:19:00,LATAM CLOSE-Three issuers raise US$2bn in LatAm primary
2016-10-21 10:52:00,"Ultrapar Participa\xc3\xa7oes SA : UGP-US: Dividend Analysis : August 22nd, 2016 (record date) : By the numbers : October 21, 2016"
2016-11-09 04:47:00,Ultrapar - Earnings Release 3Q16
2016-11-10 06:22:00,Ultrapar Participacoes posts 3Q profit
2016-11-11 09:49:00,"Ultrapar Participa\xc3\xa7oes SA :UGP-US: Earnings Analysis: Q3, 2016 By the Numbers : November 11, 2016"
2016-11-17 04:52:00,[$$] Brazil\'s Petrobras to Sell Liquigas Unit to Ultrapar
2016-11-17 05:00:00,Petrobras approves Liquig\xc3\xa1s sale to Ultrapar
2016-12-01 09:48:00,"Is Citrix Systems, Inc. (CTXS) A Good Stock To Buy?"
2016-12-02 08:55:00,Do Hedge Funds Love Cincinnati Financial Corporation (CINF)?
2016-12-07 05:47:00,Hedge Funds Arent Crazy About Whirlpool Corporation (WHR) Anymore
2016-12-14 06:26:00,New Strong Sell Stocks for December 14th
2016-12-23 08:30:00,Ultrapar Participacoes (UGP): Moving Average Crossover Alert
2016-12-28 03:23:00,Brazil\'s Ultrapar talks to buy Big Ben drugstore chain collapse -sources
2017-03-01 11:44:00,"Ultrapar Participa\xc3\xa7oes SA :UGP-US: Earnings Analysis: 2016 By the Numbers : March 1, 2017"
2017-03-29 10:23:00,"Enbridge Buys Spectra, Strengthens Hold in North America"
2017-04-03 11:22:00,"Ultrapar Participa\xc3\xa7oes SA : UGP-US: Dividend Analysis : March 06th, 2017 (record date) : By the numbers : April 3, 2017"
2017-04-19 02:51:00,Brazil\'s Economic Activity Hits Fastest Pace in 8 Years: 4 Picks
2017-04-20 09:30:00,"The Zacks Analyst Blog Highlights: Cosan, Itau Unibanco Holding, Banco Bradesco and Ultrapar Participacoes"
2017-04-21 09:58:00,TransCanada (TRP) Sells 13 Hydroelectric Generation Assets
2017-05-23 04:16:00,Ultrapar announces filing of its 2016 Form 20-F
2017-05-30 09:02:00,"Ultrapar Participa\xc3\xa7oes SA :UGP-US: Earnings Analysis: Q1, 2017 By the Numbers : May 30, 2017"
