DateTime,News
2010-04-20 06:20:00,"Latin American Markets: Mexico, Brazil stocks advance as Wall Street gains"
2010-04-20 12:50:00,"Advance/Decliner Index: Still Strong, But the Steel Market Is Clearly Top Heavy"
2010-04-22 02:29:00,"Latin American Markets: Brazil stocks, currency down as Greece weighs"
2010-04-22 07:26:00,Latin American Markets: Brazil stocks turn higher as Wall Street recovers
2010-04-26 06:58:00,Latin American Markets: Brazil stocks fall as inflation outlook lifted
2010-04-28 01:09:00,Latin American Markets: Brazil stocks off highs after Spain debt downgrade
2010-04-28 09:54:00,High Probability Trading Report: Inverse Leveraged ETFs Rally into Strength
2010-04-30 06:44:00,Latin American Markets: Brazil stocks pull back after rate-hike rally
2010-05-03 05:59:00,Latin American Markets: Petrobras falls as share-offer plan progresses
2010-05-05 07:56:00,"Advance / Decliner Index Drops to 61%: Pricing Rolling Over, How Long and How Weak?"
2010-05-05 11:09:00,[$$] Emerging Markets\' Low Yields Still Find Fans
2010-05-06 02:13:00,Latin American Markets: Latin American markets fall on European debt fears
2010-05-06 07:07:00,Q1 2010 Gerdau S.A. Earnings Release - Time Not Supplied
2010-05-06 09:27:00,Gerdau S.A. Announces First Quarter Consolidated Information
2010-05-06 10:46:00,Gerdau might hike steel prices worldwide-CEO
2010-05-06 12:05:00,Latin American markets fall on worries over Europe
2010-05-11 11:55:00,Gerdau\'s Results Buoyant
2010-05-12 12:36:00,April Chinese Steel Exports Surge: Turning Gold Into Straw
2010-05-14 05:28:00,"Latin American Markets: Mexico, Brazil stocks hit on Europe debt fears"
2010-05-18 03:11:00,Why China Investing in a U.S. Steel Mill Isn\'t as Big a Deal as It Seems
2010-05-21 05:27:00,"Latin American Markets: Mexico, Brazil stocks up after losing streaks"
2010-05-22 01:35:00,"Jon Markman\'s Speculations: Seven worries for Wall Street, and what\'s next"
2010-05-27 05:51:00,"Latin American Markets: Mexican, Brazil stocks rise in relief rally"
2010-05-28 03:59:00,"Latin American Markets: Brazil, Mexico head toward May losses"
2010-05-28 06:58:00,"Latin American Markets: Brazil, Mexico stocks end May trading in the red"
2010-05-28 09:00:00,[$$] Nerves of Steel
2010-06-01 06:30:00,Latin American Markets: Brazil stocks slump as China activity cools
2010-06-02 01:31:00,Steel ETF rallies on Gerdau proposal
2010-06-02 02:05:00,[$$] Gerdau Eyes Lower Costs With Bid to Buy Out Ameristeel
2010-06-02 02:30:00,"[video] Today\'s Big Gainers: GNA, THC, LCC, IIJI"
2010-06-02 02:54:00,"Gerdau Gets Going, IIJI Rises Again"
2010-06-02 03:14:00,Shareholders Putting the Squeeze on Gerdau
2010-06-02 05:16:00,[$$] Stocks in the Spotlight Wednesday
2010-06-02 05:29:00,UPDATE - Gerdau buys out Ameristeel stock in $1.7 bln deal
2010-06-02 08:32:00,Gerdau in $1.7 bln Ameristeel affiliate takeover
2010-06-02 09:17:00,UPDATE - Gerdau in $1.7 bln Ameristeel affiliate takeover
2010-06-02 11:23:00,Gerdau buys out Ameristeel stock in $1.7 billion deal
2010-06-03 05:16:00,"Economy Is Growing, But It\'s Like Watching Cement Dry"
2010-06-03 06:18:00,Steel Shares The Lead In New Uptrend
2010-06-03 08:54:00,GGB\'s Full Stake in Ameristeel
2010-06-04 06:55:00,"Latin American Markets: Brazil, Mexico stocks drop after U.S. jobs report"
2010-06-04 07:00:00,[video] Cramer Loves Steel
2010-06-07 06:32:00,Gerdau S.a. - Form 20-F
2010-06-07 09:01:00,"Merger Arbitrage Mondays: June 07, 2010"
2010-06-08 10:53:00,Brazil Is Still A Buy
2010-06-10 03:44:00,Turning Gold Into Straw: Steel Production Cuts Coming
2010-06-15 10:14:00,Metal Stocks That Gained During Market Correction
2010-06-21 06:01:00,"Latin American Markets: Brazil, Mexico stocks rise on China\'s yuan pledge"
2010-06-24 01:30:00,Brazil and Colombia Present Attractive Stories
2010-06-24 01:37:00,Deutsche Bank Equity Research Head Sees Rebound In Iron Ore Prices For 2010 As Pricing Resets And North America Comes To Bat
2010-06-28 06:11:00,"Latin American Markets: Steel stocks, G-20 impact weigh on Brazil market"
2010-06-29 07:06:00,Latin American Markets: Brazil stocks hit by global recovery fears
2010-06-30 09:23:00,Gerdau S.A. and Gerdau Ameristeel Corporation Enter Into Definitive Arrangement Agreement at US$11.00 Cash Per Share
2010-06-30 10:05:00,Gerdau Ameristeel deal advances
2010-07-02 06:58:00,"Latin American Markets: Mexico stocks overcome U.S. jobs data, end higher"
2010-07-02 10:07:00,Gerdau\'s Full Stake in Ameristeel
2010-07-06 06:37:00,"Latin American Markets: Brazil index gains as bank, steel stocks advance"
2010-07-08 12:58:00,"June Steel Report: Import Licenses Drop, China Surges"
2010-07-12 01:31:00,"Latin American Markets: Brazilian stocks sink on weak metals, oil prices"
2010-07-12 05:14:00,"Latin American Markets: Brazilian stocks fall on weak metals, oil prices"
2010-07-15 05:57:00,June ISM Survey: Reality Bites Back
2010-07-20 06:08:00,"Latin American Markets: Steel stocks, inflation data fuel gains in Brazil"
2010-07-23 01:47:00,China ADRs Outperform Shanghai and S&P Indices
2010-07-26 09:22:00,Professional Research on Cliffs Natural Resources and Gerdau -- Sneak Peak in the Steel & Iron Industry
2010-08-03 07:25:00,Latin American Markets: Brazilian stocks break lengthy win streak
2012-05-16 12:05:00,ArcelorMittal Shines To $22 As Americas Offset Europe\'s Dip
2012-05-18 09:00:00,"A Forward Look, The Year Ahead - Featured Research on Gerdau SA (ADR) and POSCO (ADR)"
2012-05-22 02:10:00,What About A Brazil \'Hard Landing\'?
2012-05-22 10:38:00,Brazilian stocks step back from rally
2012-05-29 02:45:00,Brazilian stocks turn lower after Spain downgrade
2012-05-29 11:15:00,Gerdau Enters Negative Zone
2012-06-04 03:49:00,Brazil stocks outpace regional rivals with gains
2012-06-04 07:28:00,Growth worries keep Brazil stock gains in check
2012-06-10 07:23:00,How To Play Brazil In 2012
2012-06-13 08:16:00,4 Steel Stocks Where Reward Outweighs Risk
2012-06-19 04:11:00,Gerdau S.A. Breaks Above 200-Day Moving Average - Bullish for GGB
2012-06-21 03:44:00,"Brazil, Mexico stocks fall after weak global data"
2012-06-25 02:54:00,"Brazil stocks slump, paced by slide in Petrobras"
2012-06-26 06:35:00,Buy Ken Fisher\'s 5 Favorite Stocks
2012-06-28 10:00:00,"ArcelorMittal, Nucor, And Gerdau All Substantially Undervalued"
2012-06-29 05:00:00,Gerdau SA (GGB): Today\'s Featured Metals & Mining Winner
